date,product_id,location,sales,price,revenue,inventory_level,reorder_level,replenishment_triggered,stock_out_risk,lead_time_days,is_promotion,promotion_discount_pct,seasonal_factor
2025-01-01,Laptop,Hyderabad,86,55000,4730000,87,20,0,0,5,1,17.2,1.15
2025-01-01,Laptop,Mumbai,67,55000,3685000,119,20,0,0,6,1,17.2,1.15
2025-01-01,Laptop,Delhi,81,55000,4455000,99,20,0,0,6,1,17.2,1.15
2025-01-01,Laptop,Bangalore,75,55000,4125000,65,20,0,0,6,1,17.2,1.15
2025-01-01,Laptop,Chennai,82,55000,4510000,63,20,1,0,5,1,17.2,1.15
2025-01-01,Laptop,Pune,84,55000,4620000,73,20,1,0,4,1,17.2,1.15
2025-01-01,Laptop,Kolkata,85,55000,4675000,41,20,0,0,4,1,17.2,1.15
2025-01-01,Laptop,Ahmedabad,76,55000,4180000,46,20,0,0,3,1,17.2,1.15
2025-01-01,Mobile,Hyderabad,114,20000,2280000,14,30,1,1,2,1,17.2,1.15
2025-01-01,Mobile,Mumbai,107,20000,2140000,47,30,0,0,3,1,17.2,1.15
2025-01-01,Mobile,Delhi,127,20000,2540000,67,30,1,0,3,1,17.2,1.15
2025-01-01,Mobile,Bangalore,110,20000,2200000,95,30,1,0,4,1,17.2,1.15
2025-01-01,Mobile,Chennai,106,20000,2120000,73,30,0,0,5,1,17.2,1.15
2025-01-01,Mobile,Pune,113,20000,2260000,52,30,1,0,6,1,17.2,1.15
2025-01-01,Mobile,Kolkata,109,20000,2180000,141,30,1,0,3,1,17.2,1.15
2025-01-01,Mobile,Ahmedabad,117,20000,2340000,43,30,1,0,2,1,17.2,1.15
2025-01-01,Tablet,Hyderabad,54,30000,1620000,103,25,0,0,2,1,17.2,1.15
2025-01-01,Tablet,Mumbai,50,30000,1500000,47,25,0,0,2,1,17.2,1.15
2025-01-01,Tablet,Delhi,48,30000,1440000,33,25,0,0,5,1,17.2,1.15
2025-01-01,Tablet,Bangalore,60,30000,1800000,69,25,0,0,4,1,17.2,1.15
2025-01-01,Tablet,Chennai,71,30000,2130000,25,25,0,0,2,1,17.2,1.15
2025-01-01,Tablet,Pune,61,30000,1830000,145,25,1,0,5,1,17.2,1.15
2025-01-01,Tablet,Kolkata,71,30000,2130000,102,25,0,0,6,1,17.2,1.15
2025-01-01,Tablet,Ahmedabad,61,30000,1830000,35,25,0,0,5,1,17.2,1.15
